etID  | Input | Late Latin {GOLD} | Early Gallo-Roman | Middle Gallo-Roman | Later Gallo-Roman | Old French I {GOLD} | Old French II {GOLD} | Middle French {GOLD} | Output {GOLD}
45     | #lˈekt̪um# | *#lˈɛxt̪o# {GOLD: #lˈɛxt̪o#} | *#lˈɛxt̪o# | *#lˈie̯çt̪ʲo# | *#lˈie̯çt̪# | *#lˈit̪# {GOLD: #lˈit̪#} | *#lˈit̪# {GOLD: #lˈit̪#} | *#lˈit̪# {GOLD: #lˈit̪#} | *#li# {GOLD: #li#}
46     | #pˌersˈoːn̪ɑm# | *#pˌɛrsˈon̪ɑ# {GOLD: #pˌɛrsˈon̪ɑ#} | *#pˌɛrsˈoːn̪ɑ# | *#pˌɛrsˈũːn̪a# | *#pˌɛrsˈũːn̪a# | *#pˌɛrsˈũn̪ə# {GOLD: #pˌɛrsˈun̪ə#} | *#pˌɛrsˈũn̪ə# {GOLD: #pˌɛrsˈũn̪ə#} | *#pˌɛrsˈũn̪ə# {GOLD: #pˌɛrsˈũn̪ə#} | *#pɛʁsɔn̪# {GOLD: #pɛʁsɔn̪#}
47     | #fˌirmˈɑːre# | *#fˌermˈɑrɛ# {GOLD: #fˌermˈɑrɛ#} | *#fˌermˈɑːrɛ# | *#fˌermˈaːrɛ# | *#fˌermˈae̯r# | *#fˌermˈeːr# {GOLD: #fˌermˈeːr#} | *#fˌɛrmˈer# {GOLD: #fˌermˈer#} | *#fˌɛrmˈer# {GOLD: #fˌɛrmˈer#} | *#fɛʁme# {GOLD: #fɛʁme#}
48     | #lˌewiˈɑːrium# | *#lˌɛʝˈɑrʝo# {GOLD: #lˌɛβʝˈɑrʝo#} | *#lˌɛʝˈɑrʝo# | *#lˌɛʝˈie̯rʲo# | *#lˌejˈie̯r# | *#lˌejˈie̯r# {GOLD: #lˌed͡ʒˈie̯r#} | *#lwˌɛjˈer# {GOLD: #lˌeʒjˈer#} | *#lwˌɛjˈer# {GOLD: #lˌeʒˈer#} | *#lwaje# {GOLD: #leʒe#}
49     | #d̪ˌisfˈɑkere# | *#d̪ˌesfˈɑkrɛ# {GOLD: #d̪ˌesfˈɑkrɛ#} | *#d̪ˌesfˈɑːkrɛ# | *#d̪ˌesfˈaçrʲɛ# | *#d̪ˌesfˈajr# | *#d̪ˌezfˈajrə# {GOLD: #d̪ˌezfˈajrə#} | *#d̪ˌefˈɛrə# {GOLD: #d̪ˌefˈɛrə#} | *#d̪ˌefˈɛrə# {GOLD: #d̪ˌefˈɛrə#} | *#d̪efɛʁ# {GOLD: #d̪efɛʁ#}
50     | #n̪ˌepˈoːt̪em# | *#n̪ˌɛpˈot̪ɛ# {GOLD: #n̪ˌɛpˈot̪ɛ#} | *#n̪ˌɛpˈoːt̪ɛ# | *#n̪ˌɛpˈoːt̪ɛ# | *#n̪ˌevˈowt̪# | *#n̪ˌəvˈowθ# {GOLD: #n̪ˌəvˈowθ#} | *#n̪ˌəvˈø# {GOLD: #n̪ˌəvˈø#} | *#n̪ˌəvˈø# {GOLD: #n̪ˌəvˈø#} | *#n̪əvø# {GOLD: #n̪əvø#}
51     | #d̪ˌeːbˈeːre# | *#d̪ˌeβˈerɛ# {GOLD: #d̪ˌeβˈerɛ#} | *#d̪ˌeβˈeːrɛ# | *#d̪ˌeβˈeːrɛ# | *#d̪ˌevˈejr# | *#d̪ˌəvˈojr# {GOLD: #d̪ˌəvˈejr#} | *#d̪ˌəvwˈɛr# {GOLD: #d̪ˌəvwˈɛr#} | *#d̪ˌəvwˈɛr# {GOLD: #d̪ˌəvwˈɛr#} | *#d̪əvwaʁ# {GOLD: #d̪əvwaʁ#}
52     | #sˌen̪t̪ˈiːre# | *#sˌɛn̪t̪ˈirɛ# {GOLD: #sˌɛn̪t̪ˈirɛ#} | *#sˌɛn̪t̪ˈiːrɛ# | *#sˌɛn̪t̪ˈiːrɛ# | *#sˌen̪t̪ˈiːr# | *#sˌẽn̪t̪ˈir# {GOLD: #sˌɛ̃n̪t̪ˈir#} | *#sˌãn̪t̪ˈir# {GOLD: #sˌãn̪t̪ˈir#} | *#sˌãːt̪ˈir# {GOLD: #sˌãːt̪ˈir#} | *#sɑ̃t̪iʁ# {GOLD: #sɑ̃t̪iʁ#}
53     | #sˌin̪ɡulˈɑːrem# | *#sˌeŋɡolˈɑrɛ# {GOLD: #sˌeŋɡolˈɑrɛ#} | *#sˌeŋɡolˈɑːrɛ# | *#sˌeŋɡolˈaːrɛ# | *#sˌeŋɡlˈae̯r# | *#sˌẽŋɡlˈeːr# {GOLD: #sˌẽŋɡlˈeːr#} | *#sˌãŋɡlˈer# {GOLD: #sˌãŋɡlˈer#} | *#sˌãːɡlˈer# {GOLD: #sˌãːɡljˈer#} | *#sɑ̃ɡle# {GOLD: #sɑ̃ɡlie#}
54     | #fˌen̪ˈɑːre# | *#fˌɛn̪ˈɑrɛ# {GOLD: #fˌɛn̪ˈɑrɛ#} | *#fˌɛn̪ˈɑːrɛ# | *#fˌɛn̪ˈaːrɛ# | *#fˌen̪ˈae̯r# | *#fˌən̪ˈeːr# {GOLD: #fˌẽn̪ˈeːr#} | *#fˌən̪ˈer# {GOLD: #fˌãn̪ˈer#} | *#fˌən̪ˈer# {GOLD: #fˌãn̪ˈer#} | *#fən̪e# {GOLD: #fan̪e#}
