ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
114,*/bɛl/,/bɛl/,0,0.0,0.0,3,3
115,*/bɛl/,/bɛl/,0,0.0,0.0,3,3
116,*/bot̪e/,/bot̪e/,0,0.0,0.0,4,4
117,*/bo/,/bo/,0,0.0,0.0,2,2
118,*/bo/,/bo/,0,0.0,0.0,2,2
119,*/bjɛ̃/,/bjɛ̃/,0,0.0,0.0,3,3
120,*/bən̪wa/,/bən̪wa/,0,0.0,0.0,5,5
121,*/ban̪/,/ban̪/,0,0.0,0.0,3,3
122,*/bɛʁbi/,/bʁəbi/,2,0.4,0.5192307692307693,5,5
123,*/bɛʁl/,/bɛʁl/,0,0.0,0.0,4,4
124,*/bis/,/bis/,0,0.0,0.0,3,3
125,*/bij/,/bij/,0,0.0,0.0,3,3
126,*/blɑ̃ʃ/,/blɑ̃ʃ/,0,0.0,0.0,4,4
127,*/blɑ̃/,/blɑ̃/,0,0.0,0.0,3,3
128,*/blɑ̃/,/blɑ̃/,0,0.0,0.0,3,3
129,*/bɔ̃d̪iʁ/,/bɔ̃d̪iʁ/,0,0.0,0.0,5,5
130,*/bɔ̃t̪e/,/bɔ̃t̪e/,0,0.0,0.0,4,4
131,*/bɔn̪ɔɲ/,/bulɔɲ/,2,0.4,0.19230769230769232,5,5
132,*/bɔ̃/,/bɔ̃/,0,0.0,0.0,2,2
133,*/bwajo/,/bwajo/,0,0.0,0.0,5,5
134,*/bwajo/,/bwajo/,0,0.0,0.0,5,5
135,*/bœf/,/bœf/,0,0.0,0.0,3,3
136,*/bø/,/bø/,0,0.0,0.0,2,2
137,*/bʁɛ/,/bʁɛ/,0,0.0,0.0,3,3
138,*/bʁas/,/bʁas/,0,0.0,0.0,4,4
139,*/bʁa/,/bʁɑ/,1,0.3333333333333333,0.07692307692307693,3,3
140,*/bʁɑ̃/,/bʁɑ̃/,0,0.0,0.0,3,3
141,*/bʁɑ̃ʃ/,/bʁɑ̃ʃ/,0,0.0,0.0,4,4
142,*/bʁɛz/,/bʁɛz/,0,0.0,0.0,4,4
143,*/bʁɑ̃/,/bʁɑ̃/,0,0.0,0.0,3,3
144,*/bʁjɛf/,/bʁɛf/,1,0.25,0.40384615384615385,5,4
145,*/bʁɛ̃/,/bʁɛ̃/,0,0.0,0.0,3,3
146,*/bʁət̪aɲ/,/bʁət̪aɲ/,0,0.0,0.0,6,6
147,*/bʁœj/,/bʁœj/,0,0.0,0.0,4,4
148,*/bʁɥijɛʁ/,/bʁɥijɛʁ/,0,0.0,0.0,7,7
149,*/buʃ/,/buʃ/,0,0.0,0.0,3,3
150,*/bwat̪/,/bwat̪/,0,0.0,0.0,4,4
151,*/buʒ/,/buʒ/,0,0.0,0.0,3,3
152,*/bujɑ̃/,/bujɑ̃/,0,0.0,0.0,4,4
153,*/bɔ̃d̪/,/bɔ̃d̪/,0,0.0,0.0,3,3
154,*/buʁ/,/buʁ/,0,0.0,0.0,3,3
155,*/buʁʒɔ̃/,/buʁʒɔ̃/,0,0.0,0.0,5,5
156,*/bɔʁn̪/,/bɔʁn̪/,0,0.0,0.0,4,4
157,*/d̪ɛ̃/,/d̪ɛ̃/,0,0.0,0.0,2,2
158,*/d̪aʁ/,/d̪aʁ/,0,0.0,0.0,3,3
159,*/d̪əvwaʁ/,/d̪əvwaʁ/,0,0.0,0.0,6,6
160,*/d̪wav/,/d̪wav/,0,0.0,0.0,4,4
161,*/d̪e/,/d̪wa/,2,0.6666666666666666,0.75,2,3
162,*/d̪ɛt̪/,/d̪ɛt̪/,0,0.0,0.0,3,3
163,*/d̪ɑ̃/,/d̪ɑ̃/,0,0.0,0.0,2,2
164,*/d̪ofɛ̃/,/d̪ofɛ̃/,0,0.0,0.0,4,4
165,*/d̪wajɛ̃/,/d̪wajɛ̃/,0,0.0,0.0,5,5
166,*/d̪im/,/d̪im/,0,0.0,0.0,3,3
167,*/d̪əmɛ̃/,/d̪əmɛ̃/,0,0.0,0.0,4,4
168,*/d̪ən̪ʁe/,/d̪ɑ̃ʁe/,2,0.5,0.6346153846153846,5,4
169,*/d̪ɑ̃/,/d̪ɑ̃/,0,0.0,0.0,2,2
170,*/d̪ɛʁt̪ʁ/,/d̪aʁt̪ʁ/,1,0.2,0.07692307692307693,5,5
171,*/d̪ɛʁjɛʁ/,/d̪ɛʁjɛʁ/,0,0.0,0.0,6,6
172,*/d̪əzy/,/d̪əsy/,1,0.25,0.038461538461538464,4,4
173,*/d̪jø/,/d̪jø/,0,0.0,0.0,3,3
174,*/d̪ɔ̃/,/d̪ɔ̃/,0,0.0,0.0,2,2
175,*/d̪imɑ̃ʒ/,/d̪imɑ̃ʃ/,1,0.2,0.038461538461538464,5,5
